1_1,give1D,show1
1_2,throw1D,hand1
1_3,pass1D,offer1
1_4,award1D,show2
1_5,pay1D,hand2
1_6,sell1D,offer2
1_7,send1D,show3
1_8,write1D,hand3
1_9,bring1D,offer3
1_10,give2P,show4
1_11,throw2P,hand4
1_12,pass2P,offer4
1_13,award2P,show5
1_14,pay2P,hand5
1_15,sell2P,offer5
1_16,send2P,show6
1_17,write2P,hand6
1_18,bring2P,offer6
1_19,intransitive1,show7
1_20,intransitive2,hand7
1_21,intransitive3,offer7
1_22,intransitive4,show8
1_23,intransitive5,hand8
1_24,intransitive6,offer8
1_25,intransitive7,show9
1_26,intransitive8,hand9
1_27,intransitive9,offer9
2_1,give3D,offer9
2_2,throw3D,show7
2_3,pass3D,hand7
2_4,award3D,offer7
2_5,pay3D,show8
2_6,sell3D,hand8
2_7,send3D,offer8
2_8,write3D,show9
2_9,bring3D,hand9
2_10,give1P,offer3
2_11,throw1P,show1
2_12,pass1P,hand1
2_13,award1P,offer1
2_14,pay1P,show2
2_15,sell1P,hand2
2_16,send1P,offer2
2_17,write1P,show3
2_18,bring1P,hand3
2_19,intransitive2,show4
2_20,intransitive3,hand4
2_21,intransitive4,offer4
2_22,intransitive5,show5
2_23,intransitive6,hand5
2_24,intransitive7,offer5
2_25,intransitive8,show6
2_26,intransitive9,hand6
2_27,intransitive1,offer6
3_1,give2D,hand4
3_2,throw2D,offer4
3_3,pass2D,show5
3_4,award2D,hand5
3_5,pay2D,offer5
3_6,sell2D,show6
3_7,send2D,hand6
3_8,write2D,offer6
3_9,bring2D,show4
3_10,give3P,hand7
3_11,throw3P,offer7
3_12,pass3P,show8
3_13,award3P,hand8
3_14,pay3P,offer8
3_15,sell3P,show9
3_16,send3P,hand9
3_17,write3P,offer9
3_18,bring3P,show7
3_19,intransitive3,show1
3_20,intransitive4,hand1
3_21,intransitive5,offer1
3_22,intransitive6,show2
3_23,intransitive7,hand2
3_24,intransitive8,offer2
3_25,intransitive9,show3
3_26,intransitive1,hand3
3_27,intransitive2,offer3
