type,item,verb,picture url,Construction,Objects,sentence fragment,height
target,show4,show,http://i58.tinypic.com/25p22xu.jpg,?,"boy, watch, friend(boy)",The boy showed,350
target,show5,show,http://i57.tinypic.com/2rxi4y1.jpg,?,"girl, picture, teacher",The girl showed,350
target,show6,show,http://i62.tinypic.com/2wmg9de.jpg,?,"boy, test, mom",The boy showed,350
target,show7,show,http://tinypic.com/view.php?pic=20fe052&s=8#.VMA67y7F92c,?,"man, necklace, girl friend",The man showed,450
target,show8,show,http://i60.tinypic.com/2jecub.jpg,?,"saleswoman, skirt, girl",The saleswoman showed,350
target,show9,show,http://i61.tinypic.com/303bi9z.jpg,?,"toddler, toy, father",The toddler showed,450
target,hand1,hand,http://i60.tinypic.com/9g9b7r.jpg,?,"boy, guitar, singer",The boy handed,350
target,hand2,hand,http://i62.tinypic.com/34e9eti.jpg,?,"girl, letter, boy",The girl handed,450
target,hand3,hand,http://i57.tinypic.com/ad0t43.jpg,?,"girl, brush, boy",The girl handed,350
target,hand4,hand,http://i59.tinypic.com/358clqa.jpg,?,"girl, mug(cup), boy",The girl handed,350
target,hand5,hand,http://i59.tinypic.com/aebnrq.jpg,?,"girl, box, boy ",The girl handed,350
target,hand6,hand,http://i57.tinypic.com/2945ez9.jpg,?,"mom, cookie, boy",The mom handed,350
target,hand7,hand,http://i59.tinypic.com/igjnfm.jpg,?,"boy, bucket, friend(boy)",The boy handed,350
target,hand8,hand,http://i57.tinypic.com/25fhrib.jpg,?,"librarian, book, boy",The librarian handed,350
target,hand9,hand,http://i61.tinypic.com/aywnm1.jpg,?,"girl, book, boy",The girl handed,350
target,offer1,offer,http://i60.tinypic.com/2gsfhc7.jpg,?,"girl, flowers, teacher",The girl offered,350
target,offer2,offer,http://i61.tinypic.com/1zg96wx.jpg,?,"waitress, drink, man",The waitress offered,350
target,offer3,offer,http://i60.tinypic.com/1zn8l81.jpg,?,"boy, valentine, girl",The boy offered,350
target,offer4,offer,http://i58.tinypic.com/2qscnpf.jpg,?,"boy, apple, teacher",The boy offered,350
target,offer5,offer,http://i62.tinypic.com/k29o9.jpg,?,"waitress, sandwich, man",The waitress offered,350
target,offer6,offer,http://i61.tinypic.com/2rfa2cz.jpg,?,"clown, balloon, girl",The clown offered,350
target,offer7,offer,http://i57.tinypic.com/2ms3mnb.jpg,?,"woman, bag, man",The woman offered,350
target,offer8,offer,http://i57.tinypic.com/2n71m5c.jpg,?,"boy, candy, girl",The boy offered,350
target,offer9,offer,http://i57.tinypic.com/2n71m5c.jpg,?,"girl, pineapple boy",The girl offered,450
filler,filler1,clap,http://i57.tinypic.com/dqh40.jpg,neutral,The girl is ,The girl  ,350
filler,filler2,fence,http://i61.tinypic.com/sxggi8.jpg,neutral,The man is ,The man  ,350
filler,filler3,fish,http://i60.tinypic.com/ka3bk5.jpg,neutral,The lady is ,The lady  ,350
filler,filler4,sleep,http://i61.tinypic.com/208wgat.jpg,neutral,The grandfather is ,The grandfather  ,350
filler,filler5,bow,http://i61.tinypic.com/nqza5l.jpg,neutral,The gentleman is ,The gentleman  ,350
filler,filler6,hitchhike,http://i60.tinypic.com/2v3g46g.jpg,neutral,The man is ,The man  ,350
filler,filler7,jump,http://i60.tinypic.com/neupz6.jpg,neutral,The girl is ,The girl  ,350
filler,filler8,kneel,http://i60.tinypic.com/21cz5lf.jpg,neutral,The girl is ,The girl  ,350
filler,filler9,rollerskate,http://i59.tinypic.com/aepn2x.jpg,neutral,The boy is ,The boy  ,350
filler,filler10,shower,http://i61.tinypic.com/fnts03.jpg,neutral,The man is ,The man  ,350
filler,filler11,sing,http://i62.tinypic.com/9st2dy.jpg,neutral,The girl is ,The girl  ,350
filler,filler12,sit,http://i61.tinypic.com/11cgygo.jpg,neutral,The man is ,The man  ,350
filler,filler13,slip,http://i58.tinypic.com/55kufd.jpg,neutral,The man is ,The man  ,350
filler,filler14,stand,http://i62.tinypic.com/2dbt2l1.jpg,neutral,The girl is ,The girl  ,350
filler,filler15,sunbathe,http://i60.tinypic.com/15ed655.jpg,neutral,The lady is ,The lady  ,350
filler,filler16,surf,http://i57.tinypic.com/2dv6ipt.jpg,neutral,The woman is ,The woman  ,350
filler,filler17,sweat,http://i59.tinypic.com/ae41mp.jpg,neutral,The man is ,The man  ,350
filler,filler18,shock,http://i57.tinypic.com/20f6eww.jpg,neutral,The boy is ,The boy  ,350
filler,filler19,wag,http://i59.tinypic.com/2pyaxzc.jpg,neutral,The dog is ,The dog  ,350
filler,filler20,wave,http://i59.tinypic.com/fmcdt.jpg,neutral,The boy is ,The boy  ,350
filler,filler21,whistle,http://i60.tinypic.com/jgm5hh.jpg,neutral,The man is ,The man  ,350
filler,filler22,wink,http://i58.tinypic.com/foezo8.jpg,neutral,The boy is ,The boy  ,350
filler,filler23,cough,http://i58.tinypic.com/348rplc.jpg,neutral,The boy is ,The boy  ,350
filler,filler24,beg,http://i61.tinypic.com/281y3q8.jpg,neutral,The man is ,The man  ,350
filler,filler25,run,http://i60.tinypic.com/r8sdnp.jpg,neutral,The man is ,The man  ,350
filler,filler26,operate,http://i60.tinypic.com/ofvsd4.jpg,neutral,The doctor is ,The doctor  ,350
filler,filler27,golf,http://tinypic.com/r/vrt44n/8,neutral,The man is ,The man  ,350
filler,filler28,celebrate,http://i58.tinypic.com/ofdhd5.jpg,neutral,The family is ,The family  ,350
filler,filler29,cheer,http://i62.tinypic.com/308fomo.jpg,neutral,The girls are ,The girls,350
filler,filler30,curtsey,http://i60.tinypic.com/2nisgfs.jpg,neutral,The girl is ,The girl  ,350
filler,filler31,drip,http://i57.tinypic.com/2lt6a2q.jpg,neutral,The water is ,The water  ,350
filler,filler32,parachute,http://i59.tinypic.com/2yyb4zn.jpg,neutral,The soldier is ,The soldier  ,350
filler,filler33,salute,http://i58.tinypic.com/jtmahc.jpg,neutral,The soldier is ,The soldier  ,350
filler,filler34,snow,http://i60.tinypic.com/116tapl.jpg,neutral,It is ,It  ,350
filler,filler35,bark,http://i62.tinypic.com/2dv5seh.jpg,neutral,The dog is ,The dog  ,350
filler,filler36,box,http://i60.tinypic.com/2e4hf2q.jpg,neutral,The man is ,The man  ,350
filler,filler37,cry,http://i59.tinypic.com/2ntl4lu.jpg,neutral,The lady is,The lady ,350
filler,filler38,drill,http://i60.tinypic.com/eb8w48.jpg,neutral,The worker is ,The worker  ,350
filler,filler39,shiver,http://i62.tinypic.com/ab5e1f.jpg,neutral,The boy is ,The boy  ,350
filler,filler40,hide,http://i59.tinypic.com/30jsk9j.jpg,neutral,The cat is ,The cat  ,350
filler,filler41,slide,http://i58.tinypic.com/11cci94.jpg,neutral,The man is ,The man  ,350
filler,filler42,doze,http://i60.tinypic.com/2hwp44m.jpg,neutral,The man is ,The man  ,350
filler,filler43,hatch,http://i57.tinypic.com/5yeu51.jpg,neutral,The chick is ,The chick  ,350
filler,filler44,laugh,http://i58.tinypic.com/2sble7a.jpg,neutral,The family is,The family,350
filler,filler45,sail,http://i59.tinypic.com/25i6c7q.jpg,neutral,The boat is ,The boat  ,350
filler,filler46,type,http://i58.tinypic.com/2ns8h1y.jpg,neutral,The secretary is ,The secretary  ,350
